"buyer_name";"vendor_name";"vendor_legal_name";"vendor_id";"tax_id";"vendor_site_id";"npi";"address";"address2";"city";"state";"zip";"country";"phone_number";"vendor_contact_name";"vendor_contact_title";"vendor_contact_phone";"vendor_contact_email"
"Cook-Hart";"Tapia, Ray and Mcgee";"Stevens and Sons";"b9b57ac436722534b033189b0f803b20";"29-1450227";"-86.7704435:-144.773708";4956754598;"87049 Brandi Tunnel";" ";"Watersview";"WV";70434;"USA";"553.671.6317";"Gregory Wright";"Community pharmacist";07589385140;"richardwhite@hotmail.com"
"Barrett-Graves";"Mercado, Weaver and Armstrong";"Myers, Sanchez and Gutierrez";"7a1a17a7ad9119f19d6159f46f0ed585";"17-6880373";"41.2803205:108.446852";9553147922;"1435 Alejandro Circles";"Suite 501";"East Jennifer";"New Mexico";78499;"US";"104-712-1404x77144";"Gary Chen";"Radiographer, diagnostic";"(140) 989-4753";"shannonsmith@bailey.com"
"Harrison, Richards and Johnson";"Wade, Lee and Williams";"Wade, Lee and Williams";"f8ffa6abd6804155e92fd952791ab450";"88-7418856";"-35.640100:87.698207";6643884233;"71298 Nash Dale Suite 386";" ";"Jesusville";"Prince Edward Island";"E9T3R7";"Canada";"522.673.4983x744";"Stephanie Massey";"Petroleum engineer";"935.155.4413";"michael94@pierce.com"
"Perez LLC";"Barker-Griffin";"Barker-Griffin";"9c7696f90a79256dfec80db7e3a74137";"17-9007202";"-69.032061:64.014031";2089464987;"6098 Jamie Crossing";" ";"Beckborough";"Quebec";"G2T1T4";"Can";"291-139-1581 x460";"Kimberly Figueroa";"Designer, television/film set";"+07(8)0704775086";"jacob84@gmail.com"
"Miller-Franco";"Richards, Nelson and Klein";"Jones, Strickland and Jones";"4d304fe3b52b6f808f08354e77adb100";"85-9043024";"-44.8361065:-60.136216";5530117387;"9793 Kelley Circles";"Apt. 972";"Katiestad";"Tennessee";48759;"United States of America";"397.756.9582x06471";"Michelle Rice";"Banker";"154-250-1426";"martinjones@franklin.com"
"Horton, Douglas and Lopez";"Arnold-Wiley";"Arnold-Wiley";"938506e087ce5995bab98db5459bbbe0";"17-3329496";"-50.5220285:82.901850";6531835716;"9576 Kenneth Via";"Suite 441";"Lake Kathryn";"New Mexico";50901;"U.S.";"1-073-234-6432x777";"Timothy Johnson";"Engineer, mining";"(197)702-0193x34382";"rchen@cross.org"
"Obrien PLC";"Carpenter-Ayala";"Levine-Simmons";"11bfb5ad3e42e02c888f2d993bffc64e";"18-4145202";"-63.1387545:46.784050";3340109724;"027 Eric Skyway Apt. 663";" ";"South Jonathan";"Nebraska";68618;"USA";"1-135-217-6381";"Tara Graham";"Accountant, chartered";"694-945-0316x886";"gvega@hoover.info"
"Le Ltd";"Perez, Brown and Long";"Perez, Brown and Long";"6a56997ff4088cd5b5831e2376de259b";"63-3400339";"35.5502865:44.647271";5355119919;"9426 Jennifer Cliff";"Suite 431";"Hannahfort";"MB";"T8B8C6";"CA";"(691) 205-7225 x532";"Deborah Patterson";"Rural practice surveyor";"(357) 777-1193 x234";"tiffany74@martin-mcgee.com"
"Lopez LLC";"Ayers Group";"Ramirez, Lawson and Murphy";"e2e2d92190e9406d2cccb4f0b0fa38db";"30-5135597";"-9.242176:-120.419251";7931551964;"4712 Valerie Creek Suite 474";" ";"Brownstad";"TX";39371;"USA";"(336)400-9782";"Emily Clarke";"Human resources officer";"(732)694-6363";"april20@gmail.com"
"Powell, Harrison and Holmes";"Miller, Schmidt and Maldonado";"Miller, Schmidt and Maldonado";"87fd6139ba568a6a4ce9e5aafc049eda";"91-7664461";"-78.207253:-30.784361";4647932418;"6301 Melissa Union";"Suite 346";"Eduardoton";"QC";"V1G4M2";"Canada";"(278) 215-3931";"James Richard";"Management consultant";"220-060-9253 x877";"kochdarlene@thomas.com"
"Black, Padilla and Lopez";"Johnson-Ramirez";"Williams, Smith and Santos";"f6a1e7412d1d8c8f0a8411fe9b9e2a33";"27-9732216";"-61.4140805:172.538983";2202701545;"5082 Ryan Estate";" ";"West Matthewport";"Colorado";45806;"USA";"(869)899-6033";"Tracy Bradford";"Engineer, land";"1-164-195-7778x3568";"susanking@davis.org"
"Spears-Lopez";"Vance and Sons";"Vance and Sons";"b2da7088a1e8b1d5bb7a15778ad05c38";"27-1595701";"-36.4267525:60.815245";3981221175;"221 Mcpherson Isle";" ";"Port Michael";"PR";29368;"US";"527.372.6176";"Joshua Flores";"Waste management officer";"1-806-094-3806x138";"savannahbullock@mccarty.com"
"Jones, Morales and Anderson";"Nunez-White";"Wolfe, Green and Harper";"efcd0adc2968d531fa72637b319b3a04";"87-5094145";"-88.439496:32.246858";9686575533;"9710 Castro Common";"Apt. 339";"Kimberlyberg";"NS";"B1S5B1";"Can";"(900) 091-0108";"Nicole Johnson";"Development worker, international aid";"542-263-2769";"fkim@thompson.com"
"Kelley, Glenn and Perkins";"Arnold, Curry and Goodwin";"Hogan, Sanford and Ford";"d7bcaceb10112eea2a2ed7c6ac80333e";"64-7622530";"-20.6210955:64.497715";1973628217;"7630 Hart Mission";" ";"New Ginafurt";"Alberta";"K6T 5S4";"CA";"114.147.5910";"Shannon Thomas";"Primary school teacher";"(781) 631-3655";"george52@tucker-taylor.com"
"Reilly LLC";"Watts PLC";"Watts PLC";"7103411906fd8ec0c13da3d311de14f1";"14-9455940";"1.429425:-155.307153";7691868793;"6698 Michaela Wells";" ";"North Elizabeth";"NB";"S8S6L9";"Can";"(561) 304-9716";"Christopher Robertson";"Administrator, charities/voluntary organisations";"(433) 347-5857";"okirk@yahoo.com"
"Hughes, Carson and Jenkins";"Smith-Bennett";"Smith-Bennett";"9363d4ccfe6f1f48d69fc433f3a7e74e";"67-8183517";"63.761692:-46.744160";2485081652;"33831 Quinn Drive";" ";"Port Mark";"WI";53824;"United States of America";"783.759.9309";"Pamela Smith";"Magazine journalist";"607-115-6072";"lpierce@gmail.com"
"Adams-Fowler";"Miller-Weber";"Burns, Brown and Martinez";"a538b84a776dc94d1f21443745ae2f80";"45-2092890";"69.489329:-17.330332";5629501034;"4543 Shepard Point";" ";"South Amyton";"South Carolina";46400;"U.S.";"1-831-332-9080x11740";"Joanne Hernandez";"Clinical scientist, histocompatibility and immunogenetics";"178-004-6307x103";"strongmatthew@hotmail.com"
"Collier, Higgins and Rivera";"Espinoza, Lucero and Davis";"Hansen-Lewis";"1cff7cc74c5457142069d62dd7140a1a";"79-1391649";"-33.375169:-148.777636";9046684566;"6257 Oconnor Light";"Apt. 021";"Justinmouth";"Nova Scotia";"G1N 6N3";"CA";"361.355.8035";"Cynthia Ramirez";"Research officer, government";"288-035-8244";"robinsondavid@yahoo.com"
"Hernandez-Marks";"Chan-Vaughn";"Wilkins-Rollins";"e1658c4bec00666fe345f28f7ed6b17d";"48-7176806";"-46.4960625:64.202246";7905057066;"96346 Sydney Cliffs";" ";"New Paulamouth";"Newfoundland and Labrador";"A5M 2R2";"CA";"549-622-9283 x933";"Matthew Gonzalez";"Designer, furniture";"328.957.6183";"maria86@gmail.com"
"Robinson, Watson and Padilla";"Watson, Woods and Sparks";"Watson, Woods and Sparks";"736902433416fee9f4d09f2394d759c9";"87-6066445";"-2.8405925:-133.180582";4825172841;"5776 John Heights";"Suite 758";"New Victoria";"Minnesota";66934;"US";"114-135-1791";"Robert Wilson";"Surveyor, insurance";"146-006-4943";"anna51@bridges.biz"
"Mitchell-Parsons";"Perez, Mckenzie and Cantu";"Perez, Mckenzie and Cantu";"316381ecff495913a0d991e796102cfa";"26-2194486";"-74.9140845:100.340453";8990955140;"4331 Williams Walks";"Apt. 422";"East Thomas";"CA";69429;"United States of America";"170.427.2658";"Matthew Pearson";"Barista";"1-008-605-1899x19252";"watsonkaren@hotmail.com"
"Davis, Collier and Rodriguez";"Richardson, Turner and Gray";"Edwards LLC";"8c358a40ad21f50f8dd93bc1cf0416ae";"25-9468869";"43.068898:-156.645052";9418497475;"5474 Allen Spring";"Suite 402";"Lake Williamfort";"MN";56387;"U.S.";"504-651-0393";"Erin Poole";"Dancer";"1-792-793-2658x8913";"plee@yahoo.com"
